Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	22.4876
7.1427e-05	3	0	0	17.6856
0.00507143	1	0	0	21.0411
0.00507143	3	0	0	18.8733
0.0100714	1	0	0	21.518
0.0100714	3	0	0	15.2659
0.0150714	1	0	0	21.0955
0.0150714	3	0	0	13.0507
0.0200714	1	0	0	21.1751
0.0200714	3	0	0	14.187
0.0240714	1	1	0	43.0955
0.0250714	1	1	0	20.6214
0.0250714	3	1	0	17.8987
0.0300714	1	1	0	21.2579
0.0300714	3	1	0	15.92
0.0350714	1	1	0	20.8552
0.0350714	3	1	0	12.2268
0.0400714	1	1	0	23.4618
0.0400714	3	1	0	12.6693
0.0450714	1	1	0	22.6613
0.0450714	3	1	0	18.1013
0.0500714	1	1	0	20.3406
0.0500714	3	1	0	16.3689
0.0550714	1	1	0	22.3185
0.0550714	3	1	0	11.3736
0.0600714	1	1	0	20.8941
0.0600714	3	1	0	10.8201
0.0650714	1	1	0	19.3047
0.0650714	3	1	0	13.6846
0.0700714	1	1	0	18.947
0.0700714	3	1	0	15.8559
0.0750714	1	1	0	19.5808
0.0750714	3	1	0	11.4203
0.0800714	1	1	0	18.0839
0.0800714	3	1	0	9.53861
0.0850714	1	1	0	18.1296
0.0850714	3	1	0	11.4421
0.0900714	1	1	0	18.7362
0.0900714	3	1	0	15.0038
0.0950714	1	1	0	18.1457
0.0950714	3	1	0	12.1078
0.100071	1	1	0	16.8241
0.100071	3	1	0	9.30706
0.104071	1	1	0	41.2467
0.105071	1	1	0	16.1837
0.105071	3	1	0	11.5636
0.110071	1	1	0	17.4301
0.110071	3	1	0	15.8524
0.115071	1	1	0	17.7141
0.115071	3	1	0	13.1488
0.120071	1	1	0	18.4095
0.120071	3	1	0	9.65497
0.125071	1	1	0	20.1447
0.125071	3	1	0	9.79495
0.130071	1	1	0	21.1639
0.130071	3	1	0	14.7867
0.135071	1	1	0	21.6277
0.135071	3	1	0	14.2129
0.140071	1	1	0	20.7518
0.140071	3	1	0	9.49326
0.145071	1	1	0	20.5563
0.145071	3	1	0	8.56205
0.150071	1	1	0	19.1596
0.150071	3	1	0	12.3759
0.155071	1	1	0	18.7365
0.155071	3	1	0	16.0861
0.160071	1	1	0	18.7102
0.160071	3	1	0	9.7309
0.165071	1	1	0	17.766
0.165071	3	1	0	8.31647
0.170071	1	1	0	19.1463
0.170071	3	1	0	11.068
0.175071	1	1	0	18.4213
0.175071	3	1	0	14.1019
0.180071	1	1	0	17.1574
0.180071	3	1	0	10.5458
0.184071	1	1	0	41.2555
0.185071	1	1	0	17.8372
0.185071	3	1	0	8.26995
0.190071	1	1	0	17.5534
0.190071	3	1	0	9.91038
0.195071	1	1	0	17.2338
0.195071	3	1	0	15.2355
0.200071	1	1	0	18.0261
0.200071	3	1	0	12.5744
0.205071	1	1	0	19.1908
0.205071	3	1	0	9.07468
