Time	CellId	RNTI	BWPId	SINR(dB)
0.413929	1	1	0	58.4315
0.413929	3	1	0	43.9306
0.414929	1	1	0	50.0451
0.414929	3	1	0	46.1324
0.415929	1	1	0	44.1119
0.415929	3	1	0	40.7007
0.416929	1	1	0	48.8174
0.416929	3	1	0	42.578
0.417857	3	1	0	43.2162
0.417929	1	1	0	59.3944
0.418929	1	1	0	49.7563
0.418929	3	1	0	43.3424
0.419929	1	1	0	43.0968
0.419929	3	1	0	50.9468
0.420571	1	1	0	46.5945
0.420571	3	1	0	53.0187
0.421286	1	1	0	40.903
0.421286	3	1	0	43.7559
0.422286	1	1	0	40.4563
0.422286	3	1	0	43.2075
0.423286	1	1	0	51.5582
0.423286	3	1	0	42.6091
0.424286	1	1	0	44.8948
0.424286	3	1	0	40.6405
0.425286	1	1	0	50.7071
0.425286	3	1	0	46.7971
0.426286	1	1	0	53.8431
0.426286	3	1	0	47.3793
0.427286	1	1	0	43.0069
0.427286	3	1	0	45.8798
0.428286	1	1	0	41.6801
0.428286	3	1	0	46.1883
0.429286	1	1	0	45.2731
0.429286	3	1	0	48.6412
0.430286	1	1	0	52.2968
0.430286	3	1	0	39.5485
0.431286	1	1	0	54.4594
0.431286	3	1	0	44.5804
0.432286	1	1	0	58.4242
0.432286	3	1	0	41.2837
0.433286	1	1	0	51.7466
0.433286	3	1	0	50.854
0.434286	1	1	0	46.4369
0.434286	3	1	0	46.4372
0.435286	1	1	0	52.0831
0.435286	3	1	0	44.9425
0.436286	1	1	0	44.0963
0.436286	3	1	0	41.826
0.437286	1	1	0	47.3484
0.437286	3	1	0	48.1999
0.438286	1	1	0	43.5135
0.438286	3	1	0	37.7645
0.439286	1	1	0	43.618
0.439286	3	1	0	47.0104
0.440286	1	1	0	48.7987
0.440286	3	1	0	42.3026
0.441286	1	1	0	50.5099
0.441286	3	1	0	44.4016
0.442286	1	1	0	45.0874
0.442286	3	1	0	45.1323
0.443286	1	1	0	42.1416
0.443286	3	1	0	55.1758
0.444286	1	1	0	41.023
0.444286	3	1	0	39.0455
