Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	0	-62.8977
0	1	0	1	-60.6127
0	1	0	2	-100.497
0	1	0	3	-94.3199
0	1	0	4	-95.5514
0	1	0	5	-97.4578
0	1	0	6	-96.4873
0	1	0	7	-94.0732
0	1	0	8	-58.5222
0	1	0	9	-90.6272
0.005	1	0	0	-68.4184
0.005	1	0	1	-64.0342
0.005	1	0	2	-94.5095
0.005	1	0	3	-98.0343
0.005	1	0	4	-83.3773
0.005	1	0	5	-98.3221
0.005	1	0	6	-85.4509
0.005	1	0	7	-95.9592
0.005	1	0	8	-67.5873
0.005	1	0	9	-102.589
0.01	1	0	0	-68.4184
0.01	1	0	1	-64.0342
0.01	1	0	2	-94.5095
0.01	1	0	3	-98.0343
0.01	1	0	4	-83.3773
0.01	1	0	5	-98.3221
0.01	1	0	6	-85.4509
0.01	1	0	7	-95.9592
0.01	1	0	8	-67.5873
0.01	1	0	9	-102.589
0.015	1	0	0	-68.4184
0.015	1	0	1	-64.0342
0.015	1	0	2	-94.5095
0.015	1	0	3	-98.0343
0.015	1	0	4	-83.3773
0.015	1	0	5	-98.3221
0.015	1	0	6	-85.4509
0.015	1	0	7	-95.9592
0.015	1	0	8	-67.5873
0.015	1	0	9	-102.589
0.02	1	0	0	-68.4184
0.02	1	0	1	-64.0342
0.02	1	0	2	-94.5095
0.02	1	0	3	-98.0343
0.02	1	0	4	-83.3773
0.02	1	0	5	-98.3221
0.02	1	0	6	-85.4509
0.02	1	0	7	-95.9592
0.02	1	0	8	-67.5873
0.02	1	0	9	-102.589
0.022	1	0	0	-68.4184
0.022	1	0	1	-64.0342
0.022	1	0	2	-94.5095
0.022	1	0	3	-98.0343
0.022	1	0	4	-83.3773
0.022	1	0	5	-98.3221
0.022	1	0	6	-85.4509
0.022	1	0	7	-95.9592
0.022	1	0	8	-67.5873
0.022	1	0	9	-102.589
0.023	1	0	0	-68.4184
0.023	1	0	1	-64.0342
0.023	1	0	2	-94.5095
0.023	1	0	3	-98.0343
0.023	1	0	4	-83.3773
0.023	1	0	5	-98.3221
0.023	1	0	6	-85.4509
0.023	1	0	7	-95.9592
0.023	1	0	8	-67.5873
0.023	1	0	9	-102.589
0.025	1	0	0	-68.4184
0.025	1	0	1	-64.0342
0.025	1	0	2	-94.5095
0.025	1	0	3	-98.0343
0.025	1	0	4	-83.3773
0.025	1	0	5	-98.3221
0.025	1	0	6	-85.4509
0.025	1	0	7	-95.9592
0.025	1	0	8	-67.5873
0.025	1	0	9	-102.589
0.03	1	0	0	-68.4184
0.03	1	0	1	-64.0342
0.03	1	0	2	-94.5095
0.03	1	0	3	-98.0343
0.03	1	0	4	-83.3773
0.03	1	0	5	-98.3221
0.03	1	0	6	-85.4509
0.03	1	0	7	-95.9592
0.03	1	0	8	-67.5873
0.03	1	0	9	-102.589
0.035	1	0	0	-68.4184
0.035	1	0	1	-64.0342
0.035	1	0	2	-94.5095
0.035	1	0	3	-98.0343
0.035	1	0	4	-83.3773
0.035	1	0	5	-98.3221
0.035	1	0	6	-85.4509
0.035	1	0	7	-95.9592
0.035	1	0	8	-67.5873
0.035	1	0	9	-102.589
0.037	1	0	0	-68.4184
0.037	1	0	1	-64.0342
0.037	1	0	2	-94.5095
0.037	1	0	3	-98.0343
0.037	1	0	4	-83.3773
0.037	1	0	5	-98.3221
