% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.411	1	0	0	1	41	3	0	1	12	15	1	0	0	1404
0.411	3	0	0	1	41	3	0	1	12	15	1	0	0	1404
0.412	1	0	0	1	41	4	0	1	12	14	1	0	0	1404
0.412	3	0	0	1	41	4	0	1	12	14	1	0	0	1404
0.413	1	0	0	1	41	5	0	1	12	13	1	0	0	1404
0.413	3	0	0	1	41	5	0	1	12	13	1	0	0	1404
0.414	1	0	0	1	41	6	0	1	12	12	1	0	0	1404
0.414	3	0	0	1	41	6	0	1	12	12	1	0	0	1404
0.415	1	0	0	1	41	7	0	1	12	11	1	0	0	1404
0.415	3	0	0	1	41	7	0	1	11	11	1	0	0	1286
0.416	1	0	0	1	41	8	0	1	12	15	1	0	0	1404
0.416	3	0	0	1	41	8	0	1	12	15	1	0	0	1404
0.417	1	0	0	1	41	9	0	1	1	14	1	0	28	4030
0.417	3	0	0	1	41	9	0	1	1	14	1	0	28	4030
