time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.414029	1	1	3	1030	0.00402677
0.414029	3	1	3	1030	0.00402591
0.415029	1	1	3	1030	0.00502506
0.415029	3	1	3	1030	0.0050242
0.416029	1	1	3	1030	0.00602335
0.416029	1	1	3	1030	0.00602163
0.416029	3	1	3	1030	0.00602249
0.416029	3	1	3	1030	0.00602078
0.417029	1	1	3	1030	0.00701992
0.417029	3	1	3	1030	0.00701907
0.417957	3	1	3	1030	0.00794593
0.418029	1	1	3	1030	0.00801821
0.419029	1	1	3	1030	0.0090165
0.419029	1	1	3	1030	0.00901479
0.419029	3	1	3	1030	0.00901564
0.419029	3	1	3	1030	0.00901393
0.419243	1	1	3	1030	0.00922737
0.419243	3	1	3	1030	0.00922651
