time(s)	cellId	rnti	lcid	packetSize
0.410002	1	1	3	1030
0.410003	3	1	3	1030
0.411002	1	1	3	1030
0.411003	3	1	3	1030
0.412002	1	1	3	1030
0.412003	3	1	3	1030
0.413002	1	1	3	1030
0.413003	3	1	3	1030
0.414002	1	1	3	1030
0.414003	3	1	3	1030
0.415002	1	1	3	1030
0.415003	3	1	3	1030
0.416002	1	1	3	1030
0.416003	3	1	3	1030
0.417002	1	1	3	1030
0.417003	3	1	3	1030
0.418002	1	1	3	1030
0.418003	3	1	3	1030
0.419002	1	1	3	1030
0.419003	3	1	3	1030
0.420002	1	1	3	1030
0.420003	3	1	3	1030
0.421002	1	1	3	1030
0.421003	3	1	3	1030
0.422002	1	1	3	1030
0.422003	3	1	3	1030
0.423002	1	1	3	1030
0.423003	3	1	3	1030
0.424002	1	1	3	1030
0.424003	3	1	3	1030
0.425002	1	1	3	1030
0.425003	3	1	3	1030
0.426002	1	1	3	1030
0.426003	3	1	3	1030
0.427002	1	1	3	1030
0.427003	3	1	3	1030
0.428002	1	1	3	1030
0.428003	3	1	3	1030
0.429002	1	1	3	1030
0.429003	3	1	3	1030
0.430002	1	1	3	1030
0.430003	3	1	3	1030
0.431002	1	1	3	1030
0.431003	3	1	3	1030
0.432002	1	1	3	1030
0.432003	3	1	3	1030
0.433002	1	1	3	1030
0.433003	3	1	3	1030
0.434002	1	1	3	1030
0.434003	3	1	3	1030
0.435002	1	1	3	1030
0.435003	3	1	3	1030
0.436002	1	1	3	1030
0.436003	3	1	3	1030
0.437002	1	1	3	1030
0.437003	3	1	3	1030
0.438002	1	1	3	1030
0.438003	3	1	3	1030
0.439002	1	1	3	1030
0.439003	3	1	3	1030
0.440002	1	1	3	1030
0.440003	3	1	3	1030
0.441002	1	1	3	1030
0.441003	3	1	3	1030
0.442002	1	1	3	1030
0.442003	3	1	3	1030
0.443002	1	1	3	1030
0.443003	3	1	3	1030
0.444002	1	1	3	1030
0.444003	3	1	3	1030
0.445002	1	1	3	1030
0.445003	3	1	3	1030
0.446002	1	1	3	1030
0.446003	3	1	3	1030
0.447002	1	1	3	1030
0.447003	3	1	3	1030
0.448002	1	1	3	1030
0.448003	3	1	3	1030
0.449002	1	1	3	1030
0.449003	3	1	3	1030
0.450002	1	1	3	1030
0.450003	3	1	3	1030
0.451002	1	1	3	1030
0.451003	3	1	3	1030
0.452002	1	1	3	1030
0.452003	3	1	3	1030
0.453002	1	1	3	1030
0.453003	3	1	3	1030
0.454002	1	1	3	1030
0.454003	3	1	3	1030
0.455002	1	1	3	1030
0.455003	3	1	3	1030
0.456002	1	1	3	1030
0.456003	3	1	3	1030
0.457002	1	1	3	1030
0.457003	3	1	3	1030
0.458002	1	1	3	1030
0.458003	3	1	3	1030
0.459002	1	1	3	1030
0.459003	3	1	3	1030
0.460002	1	1	3	1030
0.460003	3	1	3	1030
0.461002	1	1	3	1030
0.461003	3	1	3	1030
0.462002	1	1	3	1030
0.462003	3	1	3	1030
0.463002	1	1	3	1030
0.463003	3	1	3	1030
0.464002	1	1	3	1030
0.464003	3	1	3	1030
0.465002	1	1	3	1030
0.465003	3	1	3	1030
0.466002	1	1	3	1030
0.466003	3	1	3	1030
0.467002	1	1	3	1030
0.467003	3	1	3	1030
0.468002	1	1	3	1030
0.468003	3	1	3	1030
0.469002	1	1	3	1030
0.469003	3	1	3	1030
0.470002	1	1	3	1030
0.470003	3	1	3	1030
0.471002	1	1	3	1030
0.471003	3	1	3	1030
0.472002	1	1	3	1030
