time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.414029	1	1	3	133	0.00302856
0.414029	3	1	3	133	0.00302856
0.415029	1	1	3	133	0.00302856
0.415029	3	1	3	133	0.00302856
0.416029	1	1	3	133	0.00302856
0.416029	3	1	3	133	0.00302856
0.417029	1	1	3	133	0.00302856
0.417029	3	1	3	133	0.00302856
0.417957	3	1	3	122	0.00295714
0.418029	1	1	3	133	0.00302856
0.419029	1	1	3	133	0.00302856
0.419029	3	1	3	133	0.00302856
0.420029	1	1	3	4806	0.00302856
0.420029	3	1	3	4806	0.00302856
0.420671	1	1	3	2663	0.00267142
0.420671	3	1	3	2674	0.00267142
0.421386	1	1	3	1032	0.00238571
0.421386	3	1	3	1032	0.00238571
0.422386	1	1	3	1032	0.00238571
0.422386	3	1	3	1032	0.00238571
0.423386	1	1	3	1032	0.00238571
0.423386	3	1	3	1032	0.00238571
0.424386	1	1	3	1032	0.00238571
0.424386	3	1	3	1032	0.00238571
0.425386	1	1	3	1032	0.00238571
0.425386	3	1	3	1032	0.00238571
0.426386	1	1	3	1032	0.00238571
0.426386	3	1	3	1032	0.00238571
0.427386	1	1	3	1032	0.00238571
0.427386	3	1	3	1032	0.00238571
0.428386	1	1	3	1032	0.00238571
0.428386	3	1	3	1032	0.00238571
0.429386	1	1	3	1032	0.00238571
0.429386	3	1	3	1032	0.00238571
0.430386	1	1	3	1032	0.00238571
0.430386	3	1	3	1032	0.00238571
0.431386	1	1	3	1032	0.00238571
0.431386	3	1	3	1032	0.00238571
0.432386	1	1	3	1032	0.00238571
0.432386	3	1	3	1032	0.00238571
0.433386	1	1	3	1032	0.00238571
0.433386	3	1	3	1032	0.00238571
0.434386	1	1	3	1032	0.00238571
0.434386	3	1	3	1032	0.00238571
0.435386	1	1	3	1032	0.00238571
0.435386	3	1	3	1032	0.00238571
0.436386	1	1	3	1032	0.00238571
0.436386	3	1	3	1032	0.00238571
0.437386	1	1	3	1032	0.00238571
0.437386	3	1	3	1032	0.00238571
0.438386	1	1	3	1032	0.00238571
0.438386	3	1	3	1032	0.00238571
0.439386	1	1	3	1032	0.00238571
0.439386	3	1	3	1032	0.00238571
0.440386	1	1	3	1032	0.00238571
0.440386	3	1	3	1032	0.00238571
0.441386	1	1	3	1032	0.00238571
0.441386	3	1	3	1032	0.00238571
0.442386	1	1	3	1032	0.00238571
0.442386	3	1	3	1032	0.00238571
0.443386	1	1	3	1032	0.00238571
0.443386	3	1	3	1032	0.00238571
0.444386	1	1	3	1032	0.00238571
0.444386	3	1	3	1032	0.00238571
0.445386	1	1	3	1032	0.00238571
0.445386	3	1	3	1032	0.00238571
0.446386	1	1	3	1032	0.00238571
0.446386	3	1	3	1032	0.00238571
0.447386	1	1	3	1032	0.00238571
0.447386	3	1	3	1032	0.00238571
0.448386	1	1	3	1032	0.00238571
0.448386	3	1	3	1032	0.00238571
0.449386	1	1	3	1032	0.00238571
0.449386	3	1	3	1032	0.00238571
0.450386	1	1	3	1032	0.00238571
0.450386	3	1	3	1032	0.00238571
0.451386	1	1	3	1032	0.00238571
0.451386	3	1	3	1032	0.00238571
0.452386	1	1	3	1032	0.00238571
0.452386	3	1	3	1032	0.00238571
0.453386	1	1	3	1032	0.00238571
0.453386	3	1	3	1032	0.00238571
0.454386	1	1	3	1032	0.00238571
0.454386	3	1	3	1032	0.00238571
0.455386	1	1	3	1032	0.00238571
0.455386	3	1	3	1032	0.00238571
0.456386	1	1	3	1032	0.00238571
0.456386	3	1	3	1032	0.00238571
0.457386	1	1	3	1032	0.00238571
0.457386	3	1	3	1032	0.00238571
0.458386	1	1	3	1032	0.00238571
0.458386	3	1	3	1032	0.00238571
0.459386	1	1	3	1032	0.00238571
0.459386	3	1	3	1032	0.00238571
0.460386	1	1	3	1032	0.00238571
0.460386	3	1	3	1032	0.00238571
0.461386	1	1	3	1032	0.00238571
0.461386	3	1	3	1032	0.00238571
0.462386	1	1	3	1032	0.00238571
0.462386	3	1	3	1032	0.00238571
0.463386	1	1	3	1032	0.00238571
0.463386	3	1	3	1032	0.00238571
0.464386	1	1	3	1032	0.00238571
0.464386	3	1	3	1032	0.00238571
0.465386	1	1	3	1032	0.00238571
0.465386	3	1	3	1032	0.00238571
0.466386	1	1	3	1032	0.00238571
0.466386	3	1	3	1032	0.00238571
0.467386	1	1	3	1032	0.00238571
0.467386	3	1	3	1032	0.00238571
0.468386	1	1	3	1032	0.00238571
0.468386	3	1	3	1032	0.00238571
0.469386	1	1	3	1032	0.00238571
0.469386	3	1	3	1032	0.00238571
0.470386	1	1	3	1032	0.00238571
0.470386	3	1	3	1032	0.00238571
0.471386	1	1	3	1032	0.00238571
0.471386	3	1	3	1032	0.00238571
0.472386	1	1	3	1032	0.00238571
0.472386	3	1	3	1032	0.00238571
0.473386	1	1	3	1032	0.00238571
0.473386	3	1	3	1032	0.00238571
0.474386	1	1	3	1032	0.00238571
0.474386	3	1	3	1032	0.00238571
0.475386	1	1	3	1032	0.00238571
0.475386	3	1	3	1032	0.00238571
0.476386	1	1	3	1032	0.00238571
0.476386	3	1	3	1032	0.00238571
0.477386	1	1	3	1032	0.00238571
0.477386	3	1	3	1032	0.00238571
0.478386	1	1	3	1032	0.00238571
0.478386	3	1	3	1032	0.00238571
0.479386	1	1	3	1032	0.00238571
0.479386	3	1	3	1032	0.00238571
0.480386	1	1	3	1032	0.00238571
0.480386	3	1	3	1032	0.00238571
0.481386	1	1	3	1032	0.00238571
0.481386	3	1	3	1032	0.00238571
0.482386	1	1	3	1032	0.00238571
0.482386	3	1	3	1032	0.00238571
0.483386	1	1	3	1032	0.00238571
0.483386	3	1	3	1032	0.00238571
