% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.018	1	0	0	10	2	2	0	3	1	0	1	0	0	43
0.018	1	0	0	9	2	2	0	4	1	0	1	0	0	43
0.018	1	0	0	8	2	2	0	5	1	0	1	0	0	43
0.018	1	0	0	7	2	2	0	6	1	0	1	0	0	43
0.018	1	0	0	6	2	2	0	7	1	0	1	0	0	43
0.018	1	0	0	5	2	2	0	8	1	0	1	0	0	43
0.018	1	0	0	4	2	2	0	9	1	0	1	0	0	43
0.018	1	0	0	3	2	2	0	10	1	0	1	0	0	43
0.018	1	0	0	2	2	2	0	11	1	0	1	0	0	43
0.018	1	0	0	1	2	2	0	12	1	0	1	0	0	43
2.003	1	0	0	3	200	7	0	4	1	15	1	0	0	43
2.003	1	0	0	4	200	7	0	5	1	15	1	0	0	43
2.003	1	0	0	5	200	7	0	6	1	15	1	0	0	43
2.003	1	0	0	6	200	7	0	7	1	15	1	0	0	43
2.003	1	0	0	7	200	7	0	8	1	15	1	0	0	43
2.003	1	0	0	8	200	7	0	9	1	15	1	0	0	43
2.003	1	0	0	9	200	7	0	10	1	15	1	0	0	43
2.003	1	0	0	10	200	7	0	11	1	15	1	0	0	43
2.004	1	0	0	1	200	8	0	11	1	15	1	0	0	43
2.004	1	0	0	2	200	8	0	12	1	15	1	0	0	43
2.008	1	0	0	3	201	2	0	1	2	15	1	0	5	278
2.008	1	0	0	4	201	2	0	3	2	15	1	0	5	278
2.008	1	0	0	5	201	2	0	5	2	15	1	0	16	1402
2.008	1	0	0	6	201	2	0	7	2	15	1	0	3	172
2.008	1	0	0	7	201	2	0	9	1	15	1	0	16	699
2.008	1	0	0	8	201	2	0	10	1	15	1	0	0	43
2.008	1	0	0	9	201	2	0	11	1	15	1	0	26	1490
2.008	1	0	0	10	201	2	0	12	1	15	0	1	0	43
2.009	1	0	0	1	201	3	0	1	1	15	1	0	27	1557
2.009	1	0	0	3	201	3	0	2	2	14	1	0	5	278
2.009	1	0	0	4	201	3	0	4	2	14	1	0	5	278
2.009	1	0	0	6	201	3	0	6	3	14	1	0	3	260
2.009	1	0	0	7	201	3	0	9	1	14	1	0	16	699
2.009	1	0	0	8	201	3	0	10	3	14	1	0	0	137
2.01	1	0	0	2	201	4	0	1	1	15	1	0	28	1610
2.01	1	0	0	3	201	4	0	2	2	13	1	0	5	278
2.01	1	0	0	4	201	4	0	4	3	13	1	0	5	418
2.01	1	0	0	6	201	4	0	7	3	13	1	0	3	260
2.01	1	0	0	8	201	4	0	10	3	13	1	0	0	137
2.011	1	0	0	3	201	5	0	1	2	12	1	0	5	278
2.011	1	0	0	4	201	5	0	3	1	12	1	0	5	137
2.011	1	0	0	6	201	5	0	4	4	12	1	0	3	348
2.011	1	0	0	8	201	5	0	8	5	12	1	0	0	231
2.012	1	0	0	6	201	6	0	1	1	11	1	0	3	84
2.012	1	0	0	8	201	6	0	2	11	11	1	0	0	512
2.013	1	0	0	3	201	7	0	1	2	15	1	0	5	278
2.013	1	0	0	4	201	7	0	3	3	15	1	0	5	418
2.013	1	0	0	6	201	7	0	6	3	15	1	0	3	260
2.013	1	0	0	7	201	7	0	9	1	15	1	0	16	699
2.013	1	0	0	8	201	7	0	10	3	15	1	0	0	137
2.014	1	0	0	3	201	8	0	1	2	14	1	0	5	278
2.014	1	0	0	4	201	8	0	3	2	14	1	0	5	278
2.014	1	0	0	6	201	8	0	5	2	14	1	0	3	172
2.014	1	0	0	8	201	8	0	7	3	14	1	0	0	137
2.014	1	0	0	10	201	8	0	10	3	15	1	0	0	137
2.015	1	0	0	3	201	9	0	1	2	13	1	0	5	278
2.015	1	0	0	4	201	9	0	3	1	13	1	0	5	137
2.015	1	0	0	6	201	9	0	4	3	13	1	0	3	260
2.015	1	0	0	8	201	9	0	7	3	13	1	0	0	137
2.015	1	0	0	10	201	9	0	10	3	14	1	0	0	137
2.016	1	0	0	8	202	0	0	1	6	12	1	0	0	278
2.016	1	0	0	10	202	0	0	7	6	13	1	0	0	278
2.017	1	0	0	8	202	1	0	1	6	11	1	0	0	278
2.017	1	0	0	10	202	1	0	7	6	12	1	0	0	278
2.018	1	0	0	10	202	2	0	8	5	11	1	0	0	231
2.019	1	0	0	10	202	3	0	10	3	15	0	1	0	137
2.02	1	0	0	10	202	4	0	9	3	14	0	1	0	137
2.021	1	0	0	10	202	5	0	6	6	13	0	1	0	278
2.022	1	0	0	10	202	6	0	7	6	12	0	1	0	278
2.023	1	0	0	10	202	7	0	7	5	11	0	1	0	231
2.103	1	0	0	1	210	7	0	3	1	15	1	0	27	1557
2.103	1	0	0	2	210	7	0	4	1	15	1	0	28	1610
2.103	1	0	0	3	210	7	0	5	1	15	1	0	5	137
