time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0330286	1	2	3	58	0.009
0.0330286	3	2	3	58	0.009
0.0390286	1	2	3	58	0.014
0.0390286	1	2	3	58	0.013
0.0390286	1	2	3	58	0.013
0.0390286	1	2	3	58	0.0120714
0.0390286	1	2	3	58	0.011
0.0390286	1	2	3	58	0.01
0.0390286	1	2	3	58	0.01
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00964285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00864285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00764285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00664285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00564285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00464285
0.0390286	1	2	3	58	0.00364285
0.0390286	1	2	3	58	0.00364285
0.0390286	1	2	3	58	0.00364285
0.0390286	1	2	3	58	0.00364285
0.0390286	1	2	3	58	0.00364285
0.0390286	1	2	3	58	0.00364285
0.0390286	1	2	3	58	0.00364285
0.0390286	3	2	3	58	0.014
0.0390286	3	2	3	58	0.013
0.0390286	3	2	3	58	0.013
0.0390286	3	2	3	58	0.012
0.0390286	3	2	3	58	0.011
0.0390286	3	2	3	58	0.01
0.0390286	3	2	3	58	0.01
0.0390286	3	2	3	58	0.00964285
0.0390286	3	2	3	58	0.00964285
