time(s)	cellId	rnti	lcid	packetSize
0.0240286	1	2	3	58
0.0240286	3	2	3	58
0.0250286	1	2	3	58
0.0250286	3	2	3	58
0.0260286	1	2	3	58
0.0260286	1	2	3	58
0.0260286	3	2	3	58
0.0260286	3	2	3	58
0.0269571	1	2	3	58
0.0270286	3	2	3	58
0.0280286	1	2	3	58
0.0280286	3	2	3	58
0.0290286	1	2	3	58
0.0290286	1	2	3	58
0.0290286	3	2	3	58
0.0290286	3	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	1	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0293857	3	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	1	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0303857	3	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	1	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0313857	3	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	1	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0323857	3	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	1	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0333857	3	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	1	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0343857	3	2	3	58
0.0353857	1	2	3	58
0.0353857	1	2	3	58
0.0353857	1	2	3	58
