time(s)	cellId	rnti	lcid	packetSize	delay(s)
2.00746	1	3	3	35	0.00238571
2.00753	1	4	3	35	0.00245714
2.0076	1	5	3	35	0.00252857
2.00767	1	6	3	35	0.0026
2.00774	1	7	3	35	0.00267142
2.00781	1	8	3	35	0.00274285
2.00789	1	9	3	35	0.00281428
2.00896	1	1	3	35	0.00288571
2.00903	1	2	3	35	0.00295714
2.01231	1	3	3	270	0.00224286
2.01246	1	4	3	270	0.00238571
2.0126	1	5	3	999	0.00252857
2.01274	1	6	3	164	0.00267142
2.01281	1	7	3	691	0.00274285
2.01289	1	8	3	35	0.00281428
2.01296	1	9	3	999	0.00288571
2.01303	1	10	3	35	0.00795714
2.01324	1	1	3	999	0.00217143
2.01339	1	3	3	270	0.00231428
2.01353	1	4	3	270	0.00245714
2.01374	1	6	3	252	0.00267142
2.01381	1	7	3	310	0.00274285
2.01403	1	8	3	129	0.00295714
2.01424	1	2	3	999	0.00217143
2.01439	1	3	3	270	0.00231428
2.0146	1	4	3	410	0.00252857
2.01481	1	6	3	252	0.00274285
2.01503	1	8	3	129	0.00295714
2.01531	1	3	3	195	0.00224286
2.01539	1	4	3	55	0.00231428
2.01567	1	6	3	337	0.0026
2.01603	1	8	3	223	0.00295714
2.01703	1	8	3	491	0.00295714
2.02403	1	10	3	129	0.00795714
2.02496	1	10	3	129	0.00788571
2.02596	1	10	3	270	0.00788571
2.02703	1	10	3	270	0.00795714
2.02796	1	10	3	209	0.00788571
2.10739	1	1	3	1032	0.00231428
2.10746	1	2	3	1032	0.00238571
2.10753	1	3	3	129	0.00245714
2.1076	1	4	3	129	0.00252857
2.10767	1	6	3	76	0.0026
2.10774	1	7	3	691	0.00267142
2.10781	1	8	3	35	0.00274285
2.10789	1	9	3	1032	0.00281428
2.10903	1	5	3	691	0.00295714
2.11231	1	3	3	270	0.00224286
2.11246	1	4	3	270	0.00238571
2.11267	1	6	3	252	0.0026
2.11274	1	7	3	343	0.00267142
2.11296	1	8	3	129	0.00288571
2.11303	1	10	3	35	0.00795714
2.11339	1	3	3	410	0.00231428
2.1136	1	4	3	410	0.00252857
2.11381	1	6	3	252	0.00274285
2.11403	1	8	3	129	0.00295714
