time(s)	cellId	rnti	lcid	packetSize
0.0300714	1	2	3	106
0.0300714	3	2	3	106
0.0360714	1	2	3	4022
0.0360714	3	2	3	3890
0.0420714	1	2	3	3315
0.0420714	3	2	3	3506
0.0480714	1	2	3	3214
0.0480714	3	2	3	3214
0.0540714	1	2	3	3214
0.0540714	3	2	3	3214
0.0600714	1	2	3	3214
0.0600714	3	2	3	3214
0.0660714	1	2	3	3214
0.0660714	3	2	3	3214
0.0720714	3	2	3	3214
0.0730714	1	2	3	3749
0.0780714	3	2	3	3214
0.0790714	1	2	3	3214
0.0840714	3	2	3	3214
0.0850714	1	2	3	3214
0.0900714	3	2	3	3214
0.0910714	1	2	3	3214
0.0960714	3	2	3	3214
0.0970714	1	2	3	3214
0.102071	3	2	3	3214
0.103071	1	2	3	3214
0.108071	3	2	3	3214
0.109071	1	2	3	3214
0.114071	3	2	3	3214
0.115071	1	2	3	3214
0.120071	3	2	3	3214
0.121071	1	2	3	3214
0.126071	3	2	3	3214
0.127071	1	2	3	3214
0.132071	3	2	3	3214
0.133071	1	2	3	3214
0.138071	3	2	3	3214
0.139071	1	2	3	3214
0.144071	3	2	3	3214
0.145071	1	2	3	3214
0.150071	3	2	3	3214
0.151071	1	2	3	3214
0.156071	3	2	3	3214
0.157071	1	2	3	3214
0.162071	3	2	3	3214
0.163071	1	2	3	3214
0.168071	3	2	3	3214
0.169071	1	2	3	3214
0.174071	3	2	3	3214
0.175071	1	2	3	3214
0.180071	3	2	3	3214
0.181071	1	2	3	3214
0.186071	3	2	3	3214
0.187071	1	2	3	3214
0.192071	3	2	3	3214
0.193071	1	2	3	3214
0.198071	3	2	3	3214
0.199071	1	2	3	3214
0.204071	3	2	3	3214
0.205071	1	2	3	3214
0.210071	3	2	3	3214
0.211071	1	2	3	3214
0.216071	3	2	3	3214
0.217071	1	2	3	3214
0.222071	3	2	3	3214
0.223071	1	2	3	3214
0.228071	3	2	3	3214
0.229071	1	2	3	3214
0.234071	3	2	3	3214
0.235071	1	2	3	3214
0.240071	3	2	3	3214
0.241071	1	2	3	3214
0.246071	3	2	3	3214
0.247071	1	2	3	3214
0.252071	3	2	3	3214
0.253071	1	2	3	3214
0.258071	3	2	3	3214
0.259071	1	2	3	3214
0.264071	3	2	3	3214
0.265071	1	2	3	3214
0.270071	3	2	3	3214
0.271071	1	2	3	3214
0.276071	3	2	3	3214
0.277071	1	2	3	3214
0.282071	3	2	3	3214
0.283071	1	2	3	3214
0.288071	3	2	3	3214
0.289071	1	2	3	3214
0.294071	3	2	3	3214
0.295071	1	2	3	3214
0.300071	3	2	3	3214
0.301071	1	2	3	3214
0.306071	3	2	3	3214
0.307071	1	2	3	3214
0.311071	3	2	3	2678
0.312071	3	2	3	536
0.313071	1	2	3	3214
0.317071	3	2	3	2678
0.318071	3	2	3	536
0.319071	1	2	3	3214
0.323071	3	2	3	2678
0.324071	3	2	3	536
0.325071	1	2	3	3214
0.329071	3	2	3	2678
0.330071	3	2	3	536
0.331071	1	2	3	3214
0.335071	3	2	3	2678
0.336071	3	2	3	536
0.337071	1	2	3	3214
0.341071	3	2	3	2678
0.342071	3	2	3	536
0.343071	1	2	3	3214
0.347071	3	2	3	2678
0.348071	3	2	3	536
0.349071	1	2	3	3214
0.353071	3	2	3	2678
0.354071	3	2	3	536
0.355071	1	2	3	3214
0.359071	3	2	3	2678
0.360071	3	2	3	536
0.361071	1	2	3	3214
0.365071	3	2	3	2678
0.366071	3	2	3	536
0.367071	1	2	3	3214
0.371071	3	2	3	2678
0.372071	3	2	3	536
0.373071	1	2	3	3214
0.377071	3	2	3	2678
0.378071	3	2	3	536
0.379071	1	2	3	3214
0.383071	3	2	3	2678
0.384071	3	2	3	536
0.385071	1	2	3	3214
0.389071	3	2	3	2678
0.390071	3	2	3	536
0.391071	1	2	3	3214
0.395071	3	2	3	2678
0.396071	3	2	3	536
0.397071	1	2	3	3214
0.401071	3	2	3	2143
0.403071	1	2	3	1607
