Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
2.00736	UL	200	7	0	4	1	1	0	3	43	0	1	0	-1.04082	255	0	0
2.00736	UL	200	7	0	4	1	1	0	3	43	0	1	0	-1.04082	255	0	0
2.00743	UL	200	7	0	5	1	1	0	4	43	0	1	0	-0.797567	255	0	0
2.00743	UL	200	7	0	5	1	1	0	4	43	0	1	0	-0.797567	255	0	0
2.0075	UL	200	7	0	6	1	1	0	5	43	0	1	0	9.92384	255	0	0
2.0075	UL	200	7	0	6	1	1	0	5	43	0	1	0	9.92384	255	0	0
2.00757	UL	200	7	0	7	1	1	0	6	43	0	1	0	-3.46658	255	0	0
2.00757	UL	200	7	0	7	1	1	0	6	43	0	1	0	-3.46658	255	0	0
2.00764	UL	200	7	0	8	1	1	0	7	43	0	1	0	9.98643	255	0	0
2.00764	UL	200	7	0	8	1	1	0	7	43	0	1	0	9.98643	255	0	0
2.00771	UL	200	7	0	9	1	1	0	8	43	0	1	0	-5.60187	255	0	0.00512113
2.00771	UL	200	7	0	9	1	1	0	8	43	0	1	0	-5.60187	255	0	0.00512113
2.00779	UL	200	7	0	10	1	1	0	9	43	0	1	0	19.5757	255	0	0
2.00779	UL	200	7	0	10	1	1	0	9	43	0	1	0	19.5757	255	0	0
2.00786	UL	200	7	0	11	1	1	0	10	43	0	1	0	-8.05637	255	1	0.993048
2.00786	UL	200	7	0	11	1	1	0	10	43	0	1	0	-8.05637	255	1	0.993048
2.00886	UL	200	8	0	11	1	1	0	1	43	0	1	0	22.597	255	0	0
2.00886	UL	200	8	0	11	1	1	0	1	43	0	1	0	22.597	255	0	0
2.00893	UL	200	8	0	12	1	1	0	2	43	0	1	0	25.2595	255	0	0
2.00893	UL	200	8	0	12	1	1	0	2	43	0	1	0	25.2595	255	0	0
2.01221	UL	201	2	0	1	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01221	UL	201	2	0	1	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01236	UL	201	2	0	3	2	1	0	4	278	5	1	0	-0.797567	255	0	0.00120766
2.01236	UL	201	2	0	3	2	1	0	4	278	5	1	0	-0.797567	255	0	0.00120766
2.0125	UL	201	2	0	5	2	1	0	5	1402	16	1	0	9.92384	255	0	0.00760566
2.0125	UL	201	2	0	5	2	1	0	5	1402	16	1	0	9.92384	255	0	0.00760566
2.01264	UL	201	2	0	7	2	1	0	6	172	3	1	0	-3.46658	255	0	0.00394368
2.01264	UL	201	2	0	7	2	1	0	6	172	3	1	0	-3.46658	255	0	0.00394368
2.01271	UL	201	2	0	9	1	1	0	7	699	16	1	0	9.98643	255	0	2.59573e-06
2.01271	UL	201	2	0	9	1	1	0	7	699	16	1	0	9.98643	255	0	2.59573e-06
2.01279	UL	201	2	0	10	1	1	0	8	43	0	1	0	-5.60187	255	0	0.00512113
2.01279	UL	201	2	0	10	1	1	0	8	43	0	1	0	-5.60187	255	0	0.00512113
2.01286	UL	201	2	0	11	1	1	0	9	1490	26	1	0	19.5757	255	0	2.98e-09
2.01286	UL	201	2	0	11	1	1	0	9	1490	26	1	0	19.5757	255	0	2.98e-09
2.01293	UL	201	2	0	12	1	1	0	10	43	0	1	1	-8.05637	255	0	1.9297e-06
2.01293	UL	201	2	0	12	1	1	0	10	43	0	1	1	-8.05637	255	0	1.9297e-06
2.01314	UL	201	3	0	1	1	1	0	1	1557	27	1	0	22.597	255	0	0.00906412
2.01314	UL	201	3	0	1	1	1	0	1	1557	27	1	0	22.597	255	0	0.00906412
2.01329	UL	201	3	0	2	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01329	UL	201	3	0	2	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01343	UL	201	3	0	4	2	1	0	4	278	5	1	0	-0.797567	255	0	0.00120766
2.01343	UL	201	3	0	4	2	1	0	4	278	5	1	0	-0.797567	255	0	0.00120766
2.01364	UL	201	3	0	6	3	1	0	6	260	3	1	0	-3.46658	255	0	0.00394368
2.01364	UL	201	3	0	6	3	1	0	6	260	3	1	0	-3.46658	255	0	0.00394368
2.01371	UL	201	3	0	9	1	1	0	7	699	16	1	0	9.98643	255	0	2.59573e-06
2.01371	UL	201	3	0	9	1	1	0	7	699	16	1	0	9.98643	255	0	2.59573e-06
2.01393	UL	201	3	0	10	3	1	0	8	137	0	1	0	-5.60187	255	0	4.33046e-11
2.01393	UL	201	3	0	10	3	1	0	8	137	0	1	0	-5.60187	255	0	4.33046e-11
2.01414	UL	201	4	0	1	1	1	0	2	1610	28	1	0	25.2595	255	0	4.12401e-09
2.01414	UL	201	4	0	1	1	1	0	2	1610	28	1	0	25.2595	255	0	4.12401e-09
2.01429	UL	201	4	0	2	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01429	UL	201	4	0	2	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.0145	UL	201	4	0	4	3	1	0	4	418	5	1	0	-0.797567	255	0	2.60764e-07
2.0145	UL	201	4	0	4	3	1	0	4	418	5	1	0	-0.797567	255	0	2.60764e-07
2.01471	UL	201	4	0	7	3	1	0	6	260	3	1	0	-3.46658	255	0	0.00394368
2.01471	UL	201	4	0	7	3	1	0	6	260	3	1	0	-3.46658	255	0	0.00394368
2.01493	UL	201	4	0	10	3	1	0	8	137	0	1	0	-5.60187	255	0	4.33046e-11
2.01493	UL	201	4	0	10	3	1	0	8	137	0	1	0	-5.60187	255	0	4.33046e-11
2.01521	UL	201	5	0	1	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01521	UL	201	5	0	1	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01529	UL	201	5	0	3	1	1	0	4	137	5	1	0	-0.797567	255	0	0.00120766
2.01529	UL	201	5	0	3	1	1	0	4	137	5	1	0	-0.797567	255	0	0.00120766
2.01557	UL	201	5	0	4	4	1	0	6	348	3	1	0	-3.46658	255	0	1.92766e-06
2.01557	UL	201	5	0	4	4	1	0	6	348	3	1	0	-3.46658	255	0	1.92766e-06
2.01593	UL	201	5	0	8	5	1	0	8	231	0	1	0	-5.60187	255	0	4.33046e-11
2.01593	UL	201	5	0	8	5	1	0	8	231	0	1	0	-5.60187	255	0	4.33046e-11
2.01614	UL	201	6	0	1	1	1	0	6	84	3	1	0	-3.46658	255	0	0.0564028
2.01693	UL	201	6	0	2	11	1	0	8	512	0	1	0	-5.60187	255	0	0
2.01693	UL	201	6	0	2	11	1	0	8	512	0	1	0	-5.60187	255	0	0
2.01721	UL	201	7	0	1	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01743	UL	201	7	0	3	3	1	0	4	418	5	1	0	-0.797567	255	0	2.60764e-07
2.01764	UL	201	7	0	6	3	1	0	6	260	3	1	0	-3.46658	255	0	0.00394368
2.01771	UL	201	7	0	9	1	1	0	7	699	16	1	0	9.98643	255	0	2.59573e-06
2.01793	UL	201	7	0	10	3	1	0	8	137	0	1	0	-5.60187	255	0	4.33046e-11
2.01821	UL	201	8	0	1	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01836	UL	201	8	0	3	2	1	0	4	278	5	1	0	-0.797567	255	0	0.00120766
2.0185	UL	201	8	0	5	2	1	0	6	172	3	1	0	-3.46658	255	0	0.00394368
2.01871	UL	201	8	0	7	3	1	0	8	137	0	1	0	-5.60187	255	0	4.33046e-11
2.01893	UL	201	8	0	10	3	1	0	10	137	0	1	0	-8.05637	255	1	0.999868
2.01893	UL	201	8	0	10	3	1	0	10	137	0	1	0	-8.05637	255	1	0.999868
2.01921	UL	201	9	0	1	2	1	0	3	278	5	1	0	-1.04082	255	0	0.00386617
2.01929	UL	201	9	0	3	1	1	0	4	137	5	1	0	-0.797567	255	0	0.00120766
2.0195	UL	201	9	0	4	3	1	0	6	260	3	1	0	-3.46658	255	0	0.00394368
2.01971	UL	201	9	0	7	3	1	0	8	137	0	1	0	-5.60187	255	0	4.33046e-11
2.01993	UL	201	9	0	10	3	1	0	10	137	0	1	0	-8.05637	255	1	0.999868
2.01993	UL	201	9	0	10	3	1	0	10	137	0	1	0	-8.05637	255	1	0.999868
2.0205	UL	202	0	0	1	6	1	0	8	278	0	1	0	-5.60187	255	0	4.33046e-11
2.02093	UL	202	0	0	7	6	1	0	10	278	0	1	0	-8.05637	255	1	0.999868
2.02093	UL	202	0	0	7	6	1	0	10	278	0	1	0	-8.05637	255	1	0.999868
2.0215	UL	202	1	0	1	6	1	0	8	278	0	1	0	-5.60187	255	0	4.33046e-11
2.02193	UL	202	1	0	7	6	1	0	10	278	0	1	0	-8.05637	255	1	0.999868
2.02193	UL	202	1	0	7	6	1	0	10	278	0	1	0	-8.05637	255	1	0.999868
2.02293	UL	202	2	0	8	5	1	0	10	231	0	1	0	-8.05637	255	1	0.999868
2.02293	UL	202	2	0	8	5	1	0	10	231	0	1	0	-8.05637	255	1	0.999868
2.02393	UL	202	3	0	10	3	1	0	10	137	0	1	1	-8.05637	255	0	0
