Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.0269286	gNB PHY Rxed	2	6	0	1	0	0	SRS
0.0979286	gNB PHY Rxed	9	7	0	3	0	0	SRS
0.106929	gNB PHY Rxed	10	6	0	1	0	0	SRS
0.177929	gNB PHY Rxed	17	7	0	3	0	0	SRS
0.186929	gNB PHY Rxed	18	6	0	1	0	0	SRS
0.257929	gNB PHY Rxed	25	7	0	3	0	0	SRS
0.266929	gNB PHY Rxed	26	6	0	1	0	0	SRS
0.337929	gNB PHY Rxed	33	7	0	3	0	0	SRS
0.346929	gNB PHY Rxed	34	6	0	1	0	0	SRS
0.416	gNB PHY Rxed	41	5	0	3	1	0	DL_HARQ
0.416	gNB PHY Rxed	41	5	0	1	1	0	DL_HARQ
0.417	gNB PHY Rxed	41	6	0	3	1	0	DL_CQI
0.417	gNB PHY Rxed	41	6	0	3	1	0	DL_HARQ
0.417	gNB PHY Rxed	41	6	0	1	1	0	DL_CQI
0.417	gNB PHY Rxed	41	6	0	1	1	0	DL_HARQ
0.417929	gNB PHY Rxed	41	7	0	3	0	0	SRS
0.418	gNB PHY Rxed	41	7	0	1	1	0	DL_CQI
0.418	gNB PHY Rxed	41	7	0	1	1	0	DL_HARQ
0.418	gNB PHY Rxed	41	7	0	3	1	0	DL_CQI
0.418	gNB PHY Rxed	41	7	0	3	1	0	DL_HARQ
0.419	gNB PHY Rxed	41	8	0	1	1	0	DL_CQI
0.419	gNB PHY Rxed	41	8	0	1	1	0	DL_HARQ
0.419	gNB PHY Rxed	41	8	0	3	1	0	DL_CQI
0.419	gNB PHY Rxed	41	8	0	3	1	0	DL_HARQ
0.42	gNB PHY Rxed	41	9	0	1	1	0	DL_CQI
0.42	gNB PHY Rxed	41	9	0	1	1	0	DL_HARQ
0.42	gNB PHY Rxed	41	9	0	3	1	0	DL_CQI
0.42	gNB PHY Rxed	41	9	0	3	1	0	DL_HARQ
0.421	gNB PHY Rxed	42	0	0	1	1	0	DL_CQI
0.421	gNB PHY Rxed	42	0	0	1	1	0	DL_HARQ
0.421	gNB PHY Rxed	42	0	0	3	1	0	DL_CQI
0.421	gNB PHY Rxed	42	0	0	3	1	0	DL_HARQ
0.422	gNB PHY Rxed	42	1	0	1	1	0	DL_CQI
0.422	gNB PHY Rxed	42	1	0	1	1	0	DL_HARQ
0.422	gNB PHY Rxed	42	1	0	3	1	0	DL_CQI
0.422	gNB PHY Rxed	42	1	0	3	1	0	DL_HARQ
0.423	gNB PHY Rxed	42	2	0	1	1	0	DL_CQI
0.423	gNB PHY Rxed	42	2	0	3	1	0	DL_CQI
0.426929	gNB PHY Rxed	42	6	0	1	0	0	SRS
0.497929	gNB PHY Rxed	49	7	0	3	0	0	SRS
0.506929	gNB PHY Rxed	50	6	0	1	0	0	SRS
0.577929	gNB PHY Rxed	57	7	0	3	0	0	SRS
0.586929	gNB PHY Rxed	58	6	0	1	0	0	SRS
0.657929	gNB PHY Rxed	65	7	0	3	0	0	SRS
0.666929	gNB PHY Rxed	66	6	0	1	0	0	SRS
0.737929	gNB PHY Rxed	73	7	0	3	0	0	SRS
0.746929	gNB PHY Rxed	74	6	0	1	0	0	SRS
0.817929	gNB PHY Rxed	81	7	0	3	0	0	SRS
0.826929	gNB PHY Rxed	82	6	0	1	0	0	SRS
0.897929	gNB PHY Rxed	89	7	0	3	0	0	SRS
0.906929	gNB PHY Rxed	90	6	0	1	0	0	SRS
0.977929	gNB PHY Rxed	97	7	0	3	0	0	SRS
0.986929	gNB PHY Rxed	98	6	0	1	0	0	SRS
