Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
7.1427e-05	UE  PHY Rxed	0	0	0	1	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	1	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	3	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	3	0	0	MIB
0.00507143	UE  PHY Rxed	0	5	0	1	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	1	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	3	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	3	0	0	SIB1
0.0100714	UE  PHY Rxed	1	0	0	1	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	1	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	3	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	3	0	0	MIB
0.0150714	UE  PHY Rxed	1	5	0	1	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	1	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	3	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	3	0	0	SIB1
0.0200714	UE  PHY Rxed	2	0	0	1	0	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	1	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	1	0	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	1	2	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	3	0	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	3	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	3	0	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	3	2	0	RAR
0.0240714	UE  PHY Rxed	2	4	0	1	1	0	UL_DCI
0.0240714	UE  PHY Rxed	2	4	0	1	2	0	UL_DCI
0.0250714	UE  PHY Rxed	2	5	0	1	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	1	2	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	3	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	3	2	0	SIB1
0.0300714	UE  PHY Rxed	3	0	0	1	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	1	2	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	3	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	3	2	0	MIB
0.0350714	UE  PHY Rxed	3	5	0	1	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	1	2	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	3	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	3	2	0	SIB1
0.0400714	UE  PHY Rxed	4	0	0	1	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	1	2	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	3	1	0	MIB
