Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0268571	UE  PHY Txed	2	6	0	1	1	0	SRS
0.0978571	UE  PHY Txed	9	7	0	3	1	0	SRS
0.106857	UE  PHY Txed	10	6	0	1	1	0	SRS
0.177857	UE  PHY Txed	17	7	0	3	1	0	SRS
0.186857	UE  PHY Txed	18	6	0	1	1	0	SRS
0.257857	UE  PHY Txed	25	7	0	3	1	0	SRS
0.266857	UE  PHY Txed	26	6	0	1	1	0	SRS
0.337857	UE  PHY Txed	33	7	0	3	1	0	SRS
0.346857	UE  PHY Txed	34	6	0	1	1	0	SRS
0.415929	UE  PHY Txed	41	5	0	3	0	0	DL_HARQ
0.415929	UE  PHY Txed	41	5	0	1	0	0	DL_HARQ
0.416929	UE  PHY Txed	41	6	0	3	0	0	DL_CQI
0.416929	UE  PHY Txed	41	6	0	3	0	0	DL_HARQ
0.416929	UE  PHY Txed	41	6	0	1	0	0	DL_CQI
0.416929	UE  PHY Txed	41	6	0	1	0	0	DL_HARQ
0.417857	UE  PHY Txed	41	7	0	3	1	0	SRS
0.417929	UE  PHY Txed	41	7	0	1	0	0	DL_CQI
0.417929	UE  PHY Txed	41	7	0	1	0	0	DL_HARQ
0.417929	UE  PHY Txed	41	7	0	3	0	0	DL_CQI
0.417929	UE  PHY Txed	41	7	0	3	0	0	DL_HARQ
0.418929	UE  PHY Txed	41	8	0	1	0	0	DL_CQI
0.418929	UE  PHY Txed	41	8	0	1	0	0	DL_HARQ
0.418929	UE  PHY Txed	41	8	0	3	0	0	DL_CQI
0.418929	UE  PHY Txed	41	8	0	3	0	0	DL_HARQ
0.419929	UE  PHY Txed	41	9	0	1	0	0	DL_CQI
0.419929	UE  PHY Txed	41	9	0	1	0	0	DL_HARQ
0.419929	UE  PHY Txed	41	9	0	3	0	0	DL_CQI
0.419929	UE  PHY Txed	41	9	0	3	0	0	DL_HARQ
0.420929	UE  PHY Txed	42	0	0	1	0	0	DL_CQI
0.420929	UE  PHY Txed	42	0	0	1	0	0	DL_HARQ
0.420929	UE  PHY Txed	42	0	0	3	0	0	DL_CQI
0.420929	UE  PHY Txed	42	0	0	3	0	0	DL_HARQ
0.421929	UE  PHY Txed	42	1	0	1	0	0	DL_CQI
0.421929	UE  PHY Txed	42	1	0	1	0	0	DL_HARQ
0.421929	UE  PHY Txed	42	1	0	3	0	0	DL_CQI
0.421929	UE  PHY Txed	42	1	0	3	0	0	DL_HARQ
0.422929	UE  PHY Txed	42	2	0	1	0	0	DL_CQI
0.422929	UE  PHY Txed	42	2	0	3	0	0	DL_CQI
0.426857	UE  PHY Txed	42	6	0	1	1	0	SRS
0.497857	UE  PHY Txed	49	7	0	3	1	0	SRS
0.506857	UE  PHY Txed	50	6	0	1	1	0	SRS
0.577857	UE  PHY Txed	57	7	0	3	1	0	SRS
0.586857	UE  PHY Txed	58	6	0	1	1	0	SRS
0.657857	UE  PHY Txed	65	7	0	3	1	0	SRS
0.666857	UE  PHY Txed	66	6	0	1	1	0	SRS
0.737857	UE  PHY Txed	73	7	0	3	1	0	SRS
0.746857	UE  PHY Txed	74	6	0	1	1	0	SRS
0.817857	UE  PHY Txed	81	7	0	3	1	0	SRS
0.826857	UE  PHY Txed	82	6	0	1	1	0	SRS
0.897857	UE  PHY Txed	89	7	0	3	1	0	SRS
0.906857	UE  PHY Txed	90	6	0	1	1	0	SRS
0.977857	UE  PHY Txed	97	7	0	3	1	0	SRS
0.986857	UE  PHY Txed	98	6	0	1	1	0	SRS
