Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	2	-91.2737
0.0179286	3	0	3	-87.2833
0.0268571	1	0	2	-91.5285
0.0978571	3	0	3	-89.824
0.106857	1	0	2	-93.2229
0.177857	3	0	3	-90.6151
0.186857	1	0	2	-92.8427
0.257857	3	0	3	-90.071
0.266857	1	0	2	-93.6114
0.337857	3	0	3	-88.4783
0.346857	1	0	2	-93.9783
0.415929	3	0	3	-88.1878
0.415929	1	0	2	-93.7367
0.416929	3	0	3	-88.2325
0.416929	1	0	2	-93.6615
0.417857	3	0	3	-88.1651
0.417929	1	0	2	-93.6315
0.417929	3	0	3	-88.1723
0.418929	1	0	2	-93.5782
0.418929	3	0	3	-88.2736
0.419929	1	0	2	-93.6256
0.419929	3	0	3	-88.3657
0.420929	1	0	2	-93.5576
0.420929	3	0	3	-88.2429
0.421929	1	0	2	-93.4137
0.421929	3	0	3	-88.3127
0.422929	1	0	2	-93.6273
0.422929	3	0	3	-88.3805
0.426857	1	0	2	-93.4673
0.497857	3	0	3	-87.56
0.506857	1	0	2	-94.3351
0.577857	3	0	3	-86.1567
0.586857	1	0	2	-94.2741
0.657857	3	0	3	-86.7119
0.666857	1	0	2	-93.2872
0.737857	3	0	3	-85.5912
0.746857	1	0	2	-93.793
0.817857	3	0	3	-85.2498
0.826857	1	0	2	-94.52
0.897857	3	0	3	-85.4974
0.906857	1	0	2	-95.2
0.977857	3	0	3	-85.6067
0.986857	1	0	2	-95.5311
